Id,Label,Gender
a1964,Edmond Séchan,0
a1965,Vladimir Cosma,2
a1966,Jacques Bufnoir,2
a1967,Bertrand de la Fontaine,0
a1968,Françoise Menidrey,2
a1972,Dominique Lavanant,1
a1978,Iain Softley,2
a1979,Kevin Spacey,2
a1981,Alfre Woodard,1
a1993,Lloyd Levin,2
a1994,Robert F. Colesberry,2
a1995,Susan G. Pollock,0
a1997,Charles Leavitt,0
a1998,Gene Brewer,2
a1999,Ed Shearmur,2
a2000,Lewis Milestone,0
a2001,Erich Maria Remarque,2
a2003,Del Andrews,2
a2004,George Abbott,2
a2005,Arthur Edeson,2
a2006,Edgar Adams,2
a2019,Steve Meerson,2
a2020,Peter Krikes,2
a2024,Joe Aubel,2
a2025,Nilo Rodis-Jamero,2
a2026,Peter Landsdown Smith,2
a2027,Leonard Rosenman,2
a2031,Amanda Mackey,1
a2032,Jack T. Collis,2
a2033,Peter E. Berger,2
a2034,Danny Boyle,2
a2035,Andrew Macdonald,2
a2036,Alex Garland,2
a2041,Dr. Dre,2
a2042,Stephen Hopkins,2
a2043,John Davis,2
a2044,Peter Levy,2
a2045,Ferne Cassel,1
a2046,Bert Lovitt,2
a2047,Danny Glover,2
